post_id,syntax_ari,lex_liwc_WC,lex_liwc_Analytic,lex_liwc_Clout,lex_liwc_Authentic,lex_liwc_Tone,lex_liwc_WPS,lex_liwc_Sixltr,lex_liwc_Dic,lex_liwc_function,lex_liwc_pronoun,lex_liwc_ppron,lex_liwc_i,lex_liwc_we,lex_liwc_you,lex_liwc_shehe,lex_liwc_they,lex_liwc_ipron,lex_liwc_article,lex_liwc_prep,lex_liwc_auxverb,lex_liwc_adverb,lex_liwc_conj,lex_liwc_negate,lex_liwc_verb,lex_liwc_adj,lex_liwc_compare,lex_liwc_interrog,lex_liwc_number,lex_liwc_quant,lex_liwc_affect,lex_liwc_posemo,lex_liwc_negemo,lex_liwc_anx,lex_liwc_anger,lex_liwc_sad,lex_liwc_social,lex_liwc_family,lex_liwc_friend,lex_liwc_female,lex_liwc_male,lex_liwc_cogproc,lex_liwc_insight,lex_liwc_cause,lex_liwc_discrep,lex_liwc_tentat,lex_liwc_certain,lex_liwc_differ,lex_liwc_percept,lex_liwc_see,lex_liwc_hear,lex_liwc_feel,lex_liwc_bio,lex_liwc_body,lex_liwc_health,lex_liwc_sexual,lex_liwc_ingest,lex_liwc_drives,lex_liwc_affiliation,lex_liwc_achieve,lex_liwc_power,lex_liwc_reward,lex_liwc_risk,lex_liwc_focuspast,lex_liwc_focuspresent,lex_liwc_focusfuture,lex_liwc_relativ,lex_liwc_motion,lex_liwc_space,lex_liwc_time,lex_liwc_work,lex_liwc_leisure,lex_liwc_home,lex_liwc_money,lex_liwc_relig,lex_liwc_death,lex_liwc_informal,lex_liwc_swear,lex_liwc_netspeak,lex_liwc_assent,lex_liwc_nonflu,lex_liwc_filler,lex_liwc_AllPunc,lex_liwc_Period,lex_liwc_Comma,lex_liwc_Colon,lex_liwc_SemiC,lex_liwc_QMark,lex_liwc_Exclam,lex_liwc_Dash,lex_liwc_Quote,lex_liwc_Apostro,lex_liwc_Parenth,lex_liwc_OtherP,lex_dal_max_pleasantness,lex_dal_max_activation,lex_dal_max_imagery,lex_dal_min_pleasantness,lex_dal_min_activation,lex_dal_min_imagery,lex_dal_avg_activation,lex_dal_avg_imagery,lex_dal_avg_pleasantness,social_upvote_ratio,social_num_comments,syntax_fk_grade,sentiment,label
8sxdmy,7.887058824,101,49.17,16.1,92.64,1.0,20.2,13.86,90.1,56.44,11.88,9.9,8.91,0.99,0.0,0.0,0.0,1.98,6.93,13.86,10.89,8.91,7.92,1.98,11.88,0.99,0.99,0.0,1.98,1.98,7.92,0.99,6.93,4.95,0.99,0.0,4.95,0.99,0.0,0.0,0.0,14.85,1.98,1.98,2.97,5.94,0.0,4.95,0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,7.92,1.98,0.99,3.96,0.0,0.99,0.99,5.94,2.97,16.83,3.96,9.9,2.97,0.0,3.96,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.84,4.95,2.97,0.0,0.0,0.0,0.0,0.0,0.0,1.98,3.96,1.98,3.0,2.8,3.0,1.0,1.0,1.0,1.7622,1.63659,1.85572,1.0,2,8.446392157,0.008571429,1
87l3pf,2.428462064,126,1.18,23.75,52.86,1.0,25.2,11.9,95.24,67.46,26.98,23.02,13.49,0.0,0.0,9.52,0.0,3.97,2.38,11.9,9.52,12.7,14.29,3.17,19.05,4.76,1.59,3.97,0.0,0.79,11.11,2.38,8.73,3.17,1.59,0.79,14.29,1.59,0.79,9.52,1.59,15.08,2.38,3.17,2.38,1.59,1.59,4.76,3.17,0.0,1.59,1.59,0.79,0.0,0.79,0.0,0.0,3.97,0.79,0.79,0.79,0.79,1.59,0.0,18.25,2.38,12.7,2.38,5.56,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.79,10.32,3.97,0.79,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,3.0,2.75,2.8,1.0,1.125,1.0,1.74206,1.49483,1.87326,0.94,2,4.208161312,0.016849817,1
910inu,5.443870968,90,35.88,13.32,96.92,11.41,15.0,10.0,94.44,56.67,16.67,10.0,8.89,0.0,1.11,0.0,0.0,6.67,3.33,15.56,12.22,8.89,5.56,1.11,21.11,4.44,0.0,0.0,3.33,1.11,5.56,2.22,3.33,1.11,0.0,1.11,2.22,0.0,0.0,0.0,0.0,14.44,5.56,4.44,1.11,4.44,0.0,3.33,3.33,1.11,0.0,1.11,5.56,1.11,4.44,0.0,0.0,6.67,0.0,1.11,1.11,3.33,1.11,5.56,13.33,0.0,15.56,1.11,5.56,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,1.11,0.0,1.11,0.0,0.0,18.89,5.56,4.44,0.0,0.0,2.22,0.0,1.11,0.0,2.22,3.33,0.0,2.7778,2.9,3.0,1.0,1.1429,1.0,1.66467,1.44416,1.79077,1.0,1,5.874752688,0.055,1
8l9pp2,4.147906977,81,68.94,35.54,73.07,88.52,16.2,12.35,91.36,58.02,12.35,9.88,8.64,1.23,0.0,0.0,0.0,2.47,6.17,19.75,13.58,2.47,7.41,3.7,22.22,3.7,1.23,2.47,0.0,1.23,3.7,3.7,0.0,0.0,0.0,0.0,8.64,3.7,0.0,1.23,0.0,6.17,0.0,1.23,1.23,2.47,0.0,1.23,0.0,0.0,0.0,0.0,1.23,0.0,0.0,0.0,0.0,11.11,2.47,2.47,2.47,3.7,0.0,1.23,16.05,2.47,16.05,3.7,8.64,3.7,1.23,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.75,4.94,2.47,0.0,0.0,1.23,0.0,0.0,0.0,6.17,4.94,0.0,3.0,2.6364,3.0,1.2308,1.2,1.0,1.71904,1.54247,1.96481,0.88,17,4.976139535,0.393290043,1
9wypos,1.686635945,58,5.34,4.25,98.71,1.0,11.6,10.34,100.0,60.34,20.69,13.79,13.79,0.0,0.0,0.0,0.0,6.9,5.17,10.34,15.52,10.34,8.62,3.45,22.41,6.9,6.9,0.0,0.0,6.9,10.34,1.72,8.62,5.17,0.0,0.0,1.72,0.0,0.0,0.0,0.0,12.07,6.9,1.72,0.0,0.0,3.45,1.72,5.17,1.72,0.0,3.45,5.17,1.72,3.45,0.0,0.0,8.62,1.72,0.0,1.72,1.72,3.45,5.17,20.69,0.0,12.07,0.0,3.45,8.62,0.0,0.0,0.0,1.72,0.0,0.0,1.72,0.0,0.0,0.0,1.72,0.0,18.97,12.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,2.7778,2.8,3.0,1.0,1.25,1.0,1.75664,1.58298,1.95937,1.0,1,3.090092166,-0.534375,1
7p6dgo,3.821153846,75,3.09,55.29,76.49,2.41,15.0,8.0,100.0,64.0,29.33,22.67,13.33,0.0,0.0,9.33,0.0,6.67,4.0,8.0,6.67,8.0,9.33,5.33,17.33,2.67,2.67,2.67,4.0,0.0,5.33,1.33,4.0,0.0,1.33,1.33,22.67,2.67,4.0,2.67,10.67,5.33,1.33,1.33,0.0,0.0,0.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,1.33,1.33,0.0,0.0,0.0,9.33,9.33,0.0,17.33,1.33,1.33,14.67,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.67,1.33,0.0,0.0,0.0,0.0,0.0,0.0,5.33,2.67,0.0,2.8333,2.8,3.0,1.1111,1.125,1.0,1.72021,1.71268,1.918,0.97,58,4.411948718,0.2125,1
8mqmx3,2.897222222,53,59.93,57.49,36.1,1.0,10.6,11.32,100.0,54.72,18.87,13.21,5.66,0.0,0.0,7.55,0.0,5.66,7.55,13.21,5.66,5.66,5.66,1.89,20.75,1.89,3.77,0.0,0.0,3.77,5.66,0.0,5.66,3.77,0.0,0.0,13.21,0.0,0.0,0.0,7.55,16.98,3.77,0.0,7.55,3.77,0.0,3.77,5.66,1.89,1.89,1.89,3.77,1.89,1.89,0.0,0.0,7.55,1.89,0.0,5.66,0.0,1.89,11.32,7.55,0.0,20.75,5.66,3.77,11.32,5.66,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,1.89,0.0,15.09,9.43,3.77,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,2.7143,2.8889,3.0,1.0,1.2,1.0,1.80694,1.59149,1.88268,1.0,2,4.136814815,0.5,1
815k8h,2.279615385,73,1.62,1.49,97.57,1.0,14.6,12.33,95.89,61.64,20.55,13.7,12.33,0.0,0.0,0.0,1.37,6.85,1.37,9.59,17.81,6.85,12.33,4.11,27.4,5.48,1.37,4.11,0.0,2.74,6.85,0.0,6.85,2.74,1.37,1.37,2.74,0.0,0.0,0.0,0.0,15.07,1.37,1.37,1.37,5.48,0.0,8.22,4.11,0.0,0.0,4.11,8.22,1.37,6.85,0.0,0.0,5.48,0.0,0.0,5.48,0.0,0.0,6.85,21.92,2.74,12.33,5.48,2.74,4.11,4.11,0.0,0.0,0.0,0.0,0.0,1.37,0.0,1.37,0.0,0.0,0.0,12.33,5.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.85,0.0,0.0,2.7143,2.625,3.0,1.125,1.1429,1.0,1.69349,1.49153,1.78873,1.0,24,4.154358974,-0.12962963,1
7rfjom,5.494411765,99,67.51,95.68,16.48,99.0,33.0,11.11,90.91,55.56,11.11,8.08,0.0,2.02,6.06,0.0,0.0,3.03,9.09,14.14,8.08,9.09,7.07,2.02,20.2,2.02,0.0,0.0,0.0,2.02,7.07,7.07,0.0,0.0,0.0,0.0,15.15,0.0,0.0,1.01,0.0,10.1,4.04,0.0,4.04,2.02,0.0,4.04,2.02,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.13,6.06,3.03,4.04,2.02,0.0,2.02,13.13,2.02,11.11,0.0,7.07,4.04,3.03,1.01,0.0,3.03,0.0,0.0,1.01,0.0,1.01,0.0,0.0,0.0,12.12,2.02,4.04,1.01,0.0,0.0,1.01,0.0,0.0,2.02,0.0,2.02,2.75,2.8889,3.0,1.125,1.0,1.0,1.68388,1.58049,1.92067,0.4,2,5.963529412,0.192592593,0
7pg3a7,8.838181818,129,16.55,50.0,73.71,14.96,25.8,16.28,89.92,57.36,26.36,14.73,8.53,3.1,0.0,3.1,0.0,11.63,2.33,12.4,6.98,5.43,7.75,2.33,16.28,4.65,4.65,0.78,3.88,4.65,3.88,1.55,2.33,0.0,1.55,0.78,10.85,0.78,1.55,3.1,0.0,14.73,3.1,3.88,1.55,2.33,2.33,3.1,2.33,0.78,0.78,0.78,0.78,0.0,0.0,0.78,0.0,10.85,5.43,1.55,3.1,0.78,0.0,9.3,4.65,0.78,14.73,2.33,6.2,6.98,0.0,0.0,0.78,0.78,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,17.05,3.88,6.98,0.0,0.0,0.0,0.0,0.0,0.0,2.33,1.55,2.33,3.0,2.625,3.0,1.0,1.0,1.0,1.74045,1.57193,1.90533,0.25,7,8.633939394,0.152777778,0
79tofd,-0.959347826,45,22.43,41.22,99.0,3.92,9.0,2.22,88.89,64.44,26.67,26.67,15.56,0.0,0.0,11.11,0.0,0.0,0.0,17.78,4.44,13.33,4.44,0.0,17.78,4.44,4.44,0.0,0.0,0.0,2.22,0.0,2.22,0.0,0.0,0.0,15.56,0.0,0.0,0.0,11.11,11.11,6.67,0.0,0.0,0.0,2.22,2.22,2.22,0.0,0.0,2.22,2.22,0.0,2.22,0.0,0.0,11.11,2.22,2.22,0.0,4.44,2.22,2.22,15.56,0.0,22.22,0.0,6.67,17.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.56,11.11,2.22,0.0,0.0,0.0,0.0,0.0,0.0,2.22,0.0,0.0,2.8333,2.625,2.6,1.1429,1.25,1.0,1.72615,1.66818,1.94646,1.0,3,1.080608696,-0.122222222,1
9xkqh0,7.156741573,89,87.35,63.2,95.93,25.77,17.8,17.98,91.01,52.81,13.48,10.11,6.74,2.25,0.0,1.12,0.0,3.37,7.87,16.85,6.74,2.25,4.49,2.25,13.48,6.74,5.62,0.0,3.37,3.37,0.0,0.0,0.0,0.0,0.0,0.0,12.36,0.0,4.49,0.0,3.37,11.24,0.0,3.37,0.0,4.49,2.25,2.25,2.25,1.12,0.0,1.12,3.37,0.0,1.12,1.12,1.12,11.24,8.99,1.12,2.25,0.0,0.0,7.87,3.37,1.12,23.6,2.25,3.37,17.98,1.12,1.12,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,10.11,5.62,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,2.7778,2.625,3.0,1.2308,1.1429,1.0,1.73229,1.45588,1.86343,0.86,3,6.466606742,-0.012797619,0
9jhgob,4.673548387,59,36.24,50.0,67.53,1.0,14.75,16.95,86.44,55.93,11.86,11.86,8.47,3.39,0.0,0.0,0.0,0.0,6.78,11.86,20.34,5.08,6.78,0.0,22.03,5.08,0.0,1.69,0.0,3.39,8.47,1.69,6.78,1.69,3.39,0.0,6.78,0.0,0.0,0.0,0.0,5.08,0.0,0.0,0.0,1.69,1.69,1.69,0.0,0.0,0.0,0.0,1.69,0.0,1.69,0.0,0.0,13.56,3.39,1.69,1.69,1.69,5.08,13.56,10.17,0.0,13.56,1.69,3.39,8.47,3.39,0.0,0.0,0.0,0.0,0.0,1.69,0.0,0.0,0.0,0.0,0.0,22.03,6.78,3.39,0.0,1.69,0.0,0.0,1.69,0.0,5.08,0.0,3.39,2.8333,2.8889,3.0,1.0,1.1429,1.0,1.77059,1.532,1.82984,1.0,0,5.233096774,-0.066666667,1
91oz3r,3.402769231,64,84.57,10.58,82.31,55.21,64.0,14.06,82.81,59.38,14.06,9.38,9.38,0.0,0.0,0.0,0.0,4.69,14.06,15.62,7.81,3.12,7.81,3.12,7.81,3.12,3.12,1.56,0.0,0.0,4.69,3.12,1.56,1.56,0.0,0.0,3.12,0.0,0.0,0.0,0.0,7.81,1.56,1.56,0.0,0.0,1.56,3.12,1.56,0.0,0.0,0.0,10.94,7.81,1.56,0.0,1.56,3.12,1.56,0.0,0.0,0.0,1.56,0.0,9.38,0.0,12.5,0.0,7.81,4.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,0.0,3.0,2.6364,3.0,1.0,1.1429,1.0,1.75213,1.69388,1.85145,1.0,0,3.458461538,0.166666667,0
9od6d6,9.292903226,88,65.89,50.0,2.4,25.77,17.6,25.0,86.36,50.0,10.23,4.55,0.0,3.41,0.0,0.0,1.14,5.68,3.41,15.91,9.09,1.14,10.23,3.41,18.18,4.55,2.27,0.0,0.0,2.27,11.36,5.68,5.68,1.14,2.27,0.0,7.95,1.14,0.0,0.0,0.0,18.18,0.0,2.27,5.68,2.27,2.27,7.95,1.14,1.14,0.0,0.0,3.41,0.0,2.27,1.14,0.0,15.91,5.68,3.41,5.68,1.14,3.41,2.27,12.5,1.14,6.82,3.41,4.55,1.14,1.14,1.14,1.14,2.27,0.0,0.0,1.14,0.0,0.0,0.0,1.14,0.0,17.05,5.68,3.41,1.14,0.0,0.0,0.0,0.0,0.0,3.41,0.0,3.41,2.8,2.8889,3.0,1.0,1.1429,1.0,1.72547,1.4325,1.8288,1.0,1,9.173677419,0.203050595,0
5pw5m6,3.369878049,78,42.69,6.21,55.26,1.0,13.0,8.97,96.15,64.1,17.95,12.82,12.82,0.0,0.0,0.0,0.0,5.13,7.69,15.38,14.1,5.13,6.41,2.56,23.08,3.85,3.85,0.0,0.0,1.28,10.26,2.56,7.69,1.28,5.13,0.0,3.85,0.0,0.0,0.0,0.0,16.67,2.56,1.28,6.41,6.41,0.0,3.85,5.13,0.0,2.56,2.56,2.56,0.0,1.28,1.28,0.0,3.85,0.0,1.28,0.0,0.0,2.56,2.56,20.51,1.28,8.97,1.28,1.28,6.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.36,7.69,8.97,0.0,0.0,2.56,0.0,0.0,0.0,5.13,0.0,0.0,3.0,2.8889,3.0,1.0,1.2857,1.0,1.7587,1.43333,1.91483,0.67,11,5.052341463,0.0225,1
